Product Name,Category,Brand,Price ($),Eco Score
Sustaina External Hard Drive,Electronics,Sustaina,430.28,7
PlanetPro Mouse,Electronics,PlanetPro,373.74,10
EcoLife Keyboard,Electronics,EcoLife,202.82,3
EcoLife Bluetooth Speaker,Electronics,EcoLife,418.62,9
EcoLife External Hard Drive,Electronics,EcoLife,222.42,7
BioWare Tablet,Electronics,BioWare,306.37,1
FutureEco Laptop,Electronics,FutureEco,376.36,7
GreenTech Wireless Earbuds,Electronics,GreenTech,109.25,4
EarthFriendly External Hard Drive,Electronics,EarthFriendly,124.27,7
GreenTech Mouse,Electronics,GreenTech,415.29,5
RenewGen Wireless Earbuds,Electronics,RenewGen,455.81,5
GreenTech Smartwatch,Electronics,GreenTech,413.01,2
Sustaina Bluetooth Speaker,Electronics,Sustaina,443.78,8
BioWare Smartwatch,Electronics,BioWare,162.08,7
Sustaina Bluetooth Speaker,Electronics,Sustaina,314.26,1
PlanetPro Keyboard,Electronics,PlanetPro,84.56,7
EarthFriendly Tablet,Electronics,EarthFriendly,445.74,6
EcoLife Smartwatch,Electronics,EcoLife,221.17,5
BioWare Smartphone,Electronics,BioWare,443.96,4
RenewGen Wireless Earbuds,Electronics,RenewGen,352.43,7
BioWare Mouse,Electronics,BioWare,305.92,8
EcoLife Mouse,Electronics,EcoLife,116.19,5
EnviroSmart External Hard Drive,Electronics,EnviroSmart,293.62,1
NaturePure External Hard Drive,Electronics,NaturePure,126.24,9
BioWare External Hard Drive,Electronics,BioWare,314.63,1
Sustaina Tablet,Electronics,Sustaina,228.45,9
PlanetPro Smartphone,Electronics,PlanetPro,390.01,2
EarthFriendly Monitor,Electronics,EarthFriendly,21.92,2
RenewGen Tablet,Electronics,RenewGen,375.27,4
EarthFriendly External Hard Drive,Electronics,EarthFriendly,219.77,6
GreenTech Tablet,Electronics,GreenTech,144.78,3
EcoLife Monitor,Electronics,EcoLife,441.19,9
RenewGen Keyboard,Electronics,RenewGen,392.25,5
BioWare Monitor,Electronics,BioWare,216.6,4
NaturePure Smartphone,Electronics,NaturePure,266.83,8
RenewGen Monitor,Electronics,RenewGen,30.83,5
EnviroSmart Keyboard,Electronics,EnviroSmart,56.45,4
PlanetPro Smartphone,Electronics,PlanetPro,433.61,8
GreenTech Smartwatch,Electronics,GreenTech,225.25,1
PlanetPro Laptop,Electronics,PlanetPro,330.81,10
BioWare Smartwatch,Electronics,BioWare,162.77,7
Sustaina Tablet,Electronics,Sustaina,52.26,8
EnviroSmart External Hard Drive,Electronics,EnviroSmart,247.99,5
FutureEco Bluetooth Speaker,Electronics,FutureEco,149.05,4
EarthFriendly Tablet,Electronics,EarthFriendly,385.8,4
GreenTech Mouse,Electronics,GreenTech,272.61,10
EarthFriendly Wireless Earbuds,Electronics,EarthFriendly,85.89,10
Sustaina External Hard Drive,Electronics,Sustaina,253.59,6
RenewGen Monitor,Electronics,RenewGen,497.82,3
PlanetPro Smartwatch,Electronics,PlanetPro,420.51,5
Sustaina Tablet,Electronics,Sustaina,444.87,7
FutureEco Tablet,Electronics,FutureEco,123.95,5
Sustaina Tablet,Electronics,Sustaina,221.26,5
